text,risk_group,asset_type,question_type,question_group,relative_vul_group,value_type,question_number,root_risk,threat_type,perceived_threat,description,control_nist,
Does your organization use hardware products in its infrastructure?,Infrastructure Questionnaire,COMPANY HARDWARE,GENERAL,hardware,,ASSET,asset_1,none,COMPANY HARDWARE, none,"This question is asking whether your organization uses hardware products as a part of its infrastructure. Hardware products refer to physical equipment or devices, such as servers, routers, switches, and other types of network equipment. The question is trying to determine the role of hardware in the organization's operations or workflow.", none,
Are user electronics a part of your organization's infrastructure?,Infrastructure Questionnaire,USER ELECTRONICS,GENERAL,hardware,,ASSET,asset_2,none,USER ELECTRONICS, none,"User electronics: This category refers to electronic devices that are used by individuals in their daily lives, such as smartphones, laptops, tablets, and other personal devices. The question is asking if these devices are used in the organization's operations or infrastructure.", none,
Does your organization use IoT devices as a part of its infrastructure?,Infrastructure Questionnaire,IoT,GENERAL,hardware,,ASSET,asset_3,none,IoT, none,"IoT devices: IoT stands for Internet of Things, which refers to devices that are connected to the internet and can communicate with each other. Examples include smart thermostats, security cameras, and industrial sensors. The question is asking if these devices are used in the organization's infrastructure.", none,
Does your organization use third-party software in its operations?,Infrastructure Questionnaire,THIRD-PARTY SOFTWARE,GENERAL,software,,ASSET,asset_4,none,THIRD-PARTY SOFTWARE, none,"Third-party software: This category refers to software that is created and maintained by a third-party vendor, rather than being developed in-house by the organization. The question is asking if this software is used in the organization's operations or infrastructure.", none,
Does your organization use software hosted on its own machines in its operations?,Infrastructure Questionnaire,SOFTWARE HOSTED on ORGANIZATION MACHINES,GENERAL,software,,ASSET,asset_5,none,SOFTWARE HOSTED on ORGANIZATION MACHINES, none,"Software hosted on organization machine: This category refers to software that is hosted on the organization's own machines or servers, rather than being hosted in the cloud or by a third-party vendor. The question is asking if this type of software is used in the organization's operations or infrastructure.", none,
Does your organization allow external users to access its infrastructure?,Infrastructure Questionnaire,EXTERNAL USER,GENERAL,user,,ASSET,asset_6,none,EXTERNAL USER, none,"External users: This category refers to individuals who are not employees of the organization but who may access its infrastructure for various reasons, such as customers, clients, or partners. The question is asking if these external users are a part of the organization's operations or workflow.", none,
How likely is it that malicious third-party software would be introduced into your systems ?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_question_group_1,"sw_hosted_group_2,sw_hosted_group_9,sw_hosted_group_11,sw_hosted_group_18,sw_hosted_group_19,sw_hosted_group_20,sw_hosted_group_28,sw_hosted_group_29,sw_hosted_group_30,sw_hosted_group_32,sw_hosted_group_33,sw_hosted_group_35,sw_hosted_group_36,sw_hosted_group_26,sw_hosted_group_24",THREAT,threat_101,lack of organizational security practices for  third-party software,Malicious proprietary third-party software,Supply Chain Breach,"Proprietary third-party software refers to any software developed by a different company than the one that manufactures the device or the operating system it runs on but does not include Open Source Software (OSS). Examples of such proprietary third-party software might include applications like Microsoft Office, Adobe Creative Suite, Salesforce CRM, or other commercial software products.Malicious third-party software encompasses unauthorized software from external sources introduced into an organization's systems to cause harm or exploit the host system and its data. This category includes harmful programs such as malware, spyware, ransomware, and others that can lead to serious security issues, including data breaches, system crashes, and disruptions to normal operations.
Various vulnerabilities often facilitate the introduction of malicious software in an organization's software supply chain. These vulnerabilities could arise from a lack of robust security measures and controls that would otherwise protect the organization from external threats. For example, inadequate verification mechanisms or insufficient monitoring of third-party software can open the door for malicious software to infiltrate an organization's systems.",,
"If malicious third-party software is introduced into your systems, how significant would the potential impact be on the organization's security posture?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,IMPACT,sw_hosted_question_group_1,"sw_hosted_group_2,sw_hosted_group_9,sw_hosted_group_11,sw_hosted_group_18,sw_hosted_group_19,sw_hosted_group_20,sw_hosted_group_28,sw_hosted_group_29,sw_hosted_group_30,sw_hosted_group_32,sw_hosted_group_33,sw_hosted_group_35,sw_hosted_group_36,sw_hosted_group_26,sw_hosted_group_24",IMPACT,impact_101,potential consequences of malicious proprietary third-party software,Malicious third-party software,Supply Chain Breach, ,,
"How likely is it that your organization's software projects could be compromised by a malicious open source third-party software (e.g., open source libraries)?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_question_group_2,"sw_hosted_group_2,sw_hosted_group_9,sw_hosted_group_11,sw_hosted_group_38,sw_hosted_group_39,sw_hosted_group_40,sw_hosted_group_41,sw_hosted_group_42,sw_hosted_group_43,sw_hosted_group_44,sw_hosted_group_45,sw_hosted_group_26,sw_hosted_group_24",THREAT,threat_101,malicious open source software,Malicious open source software,Supply Chain or Software Breach,"Open source software is software that is released with a license allowing anyone to view, use, modify, and distribute the software's source code. While open-source software can provide many benefits, such as cost savings and increased flexibility, it also presents certain risks. One of these risks is the potential for malicious actors to introduce harmful code into open-source projects, which can then be unwittingly incorporated into an organization's software systems.
The risk of malicious open-source software is exacerbated by various vulnerabilities within an organization's software development and deployment practices. These vulnerabilities could stem from inadequate user account management practices, insufficient authentication measures, or the absence of proper dependency management. For instance, organizations may unknowingly include malicious open-source code in their software projects if they do not properly manage their software dependencies or fail to verify third-party libraries' authenticity and integrity.",,
"If your organization's software projects were compromised by malicious third-party code, how significant would the potential impact be on your organization's operations, reputation, and regulatory compliance?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,IMPACT,sw_hosted_question_group_2,"sw_hosted_group_2,sw_hosted_group_9.sw_hosted_group_11,sw_hosted_group_38,sw_hosted_group_39,sw_hosted_group_40,sw_hosted_group_41,sw_hosted_group_42,sw_hosted_group_43,sw_hosted_group_44,sw_hosted_group_45,sw_hosted_group_26,sw_hosted_group_24",IMPACT,impact_101,potential consequences of malicious open source software,Malicious open source software,Supply Chain or Software Breach,,,
